REF_DATE,GEO,DGUID,Demographic characteristics,Household food security status,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Canada,2021A000011124,Men+,"Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342897,1.10.2.2,5.5,C,,,1
2021,Canada,2021A000011124,Men+,"Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342898,1.10.3.1,2389400,B,,,0
2021,Canada,2021A000011124,Men+,"Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342899,1.10.3.2,12.8,B,,,1
2021,Canada,2021A000011124,Men+,"Food insecure, moderate",Number of persons,Number,223,units,0,v1288342900,1.10.4.1,1631500,B,,,0
2021,Canada,2021A000011124,Men+,"Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342901,1.10.4.2,8.7,B,,,1
2021,Canada,2021A000011124,Men+,"Food insecure, severe",Number of persons,Number,223,units,0,v1288342902,1.10.5.1,757900,C,,,0
2021,Canada,2021A000011124,Men+,"Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342903,1.10.5.2,4.1,C,,,1
2021,Canada,2021A000011124,"Men+, under 18 years",Food secure,Number of persons,Number,223,units,0,v1288342904,1.11.1.1,2786300,A,,,0
2021,Canada,2021A000011124,"Men+, under 18 years",Food secure,Percentage of persons,Percent,239,units,0,v1288342905,1.11.1.2,74.8,A,,,1
2021,Canada,2021A000011124,"Men+, under 18 years",Food insecure,Number of persons,Number,223,units,0,v1529611812,1.11.6.1,940100,C,,,0
2021,Canada,2021A000011124,"Men+, under 18 years",Food insecure,Percentage of persons,Percent,239,units,0,v1529611813,1.11.6.2,25.2,B,,,1
2021,Canada,2021A000011124,"Men+, under 18 years","Food insecure, marginal",Number of persons,Number,223,units,0,v1288342906,1.11.2.1,295400,D,,,0
2021,Canada,2021A000011124,"Men+, under 18 years","Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342907,1.11.2.2,7.9,D,,,1
2021,Canada,2021A000011124,"Men+, under 18 years","Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342908,1.11.3.1,644700,C,,,0
2021,Canada,2021A000011124,"Men+, under 18 years","Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342909,1.11.3.2,17.3,C,,,1
2021,Canada,2021A000011124,"Men+, under 18 years","Food insecure, moderate",Number of persons,Number,223,units,0,v1288342910,1.11.4.1,487900,C,,,0
2021,Canada,2021A000011124,"Men+, under 18 years","Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342911,1.11.4.2,13.1,C,,,1
2021,Canada,2021A000011124,"Men+, under 18 years","Food insecure, severe",Number of persons,Number,223,units,0,v1288342912,1.11.5.1,156700,D,,,0
2021,Canada,2021A000011124,"Men+, under 18 years","Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342913,1.11.5.2,4.2,D,,,1
2021,Canada,2021A000011124,"Men+, 18 to 64 years",Food secure,Number of persons,Number,223,units,0,v1288342914,1.12.1.1,9624800,A,,,0
2021,Canada,2021A000011124,"Men+, 18 to 64 years",Food secure,Percentage of persons,Percent,239,units,0,v1288342915,1.12.1.2,81.7,A,,,1
2021,Canada,2021A000011124,"Men+, 18 to 64 years",Food insecure,Number of persons,Number,223,units,0,v1529611814,1.12.6.1,2152900,B,,,0
2021,Canada,2021A000011124,"Men+, 18 to 64 years",Food insecure,Percentage of persons,Percent,239,units,0,v1529611815,1.12.6.2,18.3,B,,,1
2021,Canada,2021A000011124,"Men+, 18 to 64 years","Food insecure, marginal",Number of persons,Number,223,units,0,v1288342916,1.12.2.1,601700,C,,,0
2021,Canada,2021A000011124,"Men+, 18 to 64 years","Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342917,1.12.2.2,5.1,C,,,1
2021,Canada,2021A000011124,"Men+, 18 to 64 years","Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342918,1.12.3.1,1551200,B,,,0
2021,Canada,2021A000011124,"Men+, 18 to 64 years","Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342919,1.12.3.2,13.2,B,,,1
2021,Canada,2021A000011124,"Men+, 18 to 64 years","Food insecure, moderate",Number of persons,Number,223,units,0,v1288342920,1.12.4.1,1008300,B,,,0
2021,Canada,2021A000011124,"Men+, 18 to 64 years","Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342921,1.12.4.2,8.6,B,,,1
2021,Canada,2021A000011124,"Men+, 18 to 64 years","Food insecure, severe",Number of persons,Number,223,units,0,v1288342922,1.12.5.1,542900,C,,,0
2021,Canada,2021A000011124,"Men+, 18 to 64 years","Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342923,1.12.5.2,4.6,C,,,1
2021,Canada,2021A000011124,"Men+, 65 years and over",Food secure,Number of persons,Number,223,units,0,v1288342924,1.13.1.1,2880600,A,,,0
2021,Canada,2021A000011124,"Men+, 65 years and over",Food secure,Percentage of persons,Percent,239,units,0,v1288342925,1.13.1.2,89.9,A,,,1
2021,Canada,2021A000011124,"Men+, 65 years and over",Food insecure,Number of persons,Number,223,units,0,v1529611816,1.13.6.1,324900,C,,,0
2021,Canada,2021A000011124,"Men+, 65 years and over",Food insecure,Percentage of persons,Percent,239,units,0,v1529611817,1.13.6.2,10.1,C,,,1
2021,Canada,2021A000011124,"Men+, 65 years and over","Food insecure, marginal",Number of persons,Number,223,units,0,v1288342926,1.13.2.1,131400,C,,,0
2021,Canada,2021A000011124,"Men+, 65 years and over","Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342927,1.13.2.2,4.1,C,,,1
2021,Canada,2021A000011124,"Men+, 65 years and over","Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342928,1.13.3.1,193500,C,,,0
2021,Canada,2021A000011124,"Men+, 65 years and over","Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342929,1.13.3.2,6,C,,,1
2021,Canada,2021A000011124,"Men+, 65 years and over","Food insecure, moderate",Number of persons,Number,223,units,0,v1288342930,1.13.4.1,135300,C,,,0
2021,Canada,2021A000011124,"Men+, 65 years and over","Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342931,1.13.4.2,4.2,C,,,1
2021,Canada,2021A000011124,"Men+, 65 years and over","Food insecure, severe",Number of persons,Number,223,units,0,v1288342932,1.13.5.1,58300,D,,,0
2021,Canada,2021A000011124,"Men+, 65 years and over","Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342933,1.13.5.2,1.8,D,,,1
2021,Canada,2021A000011124,Women+,Food secure,Number of persons,Number,223,units,0,v1288342934,1.14.1.1,15380700,A,,,0
2021,Canada,2021A000011124,Women+,Food secure,Percentage of persons,Percent,239,units,0,v1288342935,1.14.1.2,81.3,A,,,1
2021,Canada,2021A000011124,Women+,Food insecure,Number of persons,Number,223,units,0,v1529611818,1.14.6.1,3544400,B,,,0
2021,Canada,2021A000011124,Women+,Food insecure,Percentage of persons,Percent,239,units,0,v1529611819,1.14.6.2,18.7,B,,,1
2021,Canada,2021A000011124,Women+,"Food insecure, marginal",Number of persons,Number,223,units,0,v1288342936,1.14.2.1,1065100,B,,,0
2021,Canada,2021A000011124,Women+,"Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342937,1.14.2.2,5.6,B,,,1
2021,Canada,2021A000011124,Women+,"Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342938,1.14.3.1,2479200,B,,,0
2021,Canada,2021A000011124,Women+,"Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342939,1.14.3.2,13.1,B,,,1
2021,Canada,2021A000011124,Women+,"Food insecure, moderate",Number of persons,Number,223,units,0,v1288342940,1.14.4.1,1731000,B,,,0
2021,Canada,2021A000011124,Women+,"Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342941,1.14.4.2,9.1,B,,,1
2021,Canada,2021A000011124,Women+,"Food insecure, severe",Number of persons,Number,223,units,0,v1288342942,1.14.5.1,748300,C,,,0
2021,Canada,2021A000011124,Women+,"Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342943,1.14.5.2,4,C,,,1
2021,Canada,2021A000011124,"Women+, under 18 years",Food secure,Number of persons,Number,223,units,0,v1288342944,1.15.1.1,2743600,A,,,0
2021,Canada,2021A000011124,"Women+, under 18 years",Food secure,Percentage of persons,Percent,239,units,0,v1288342945,1.15.1.2,76.5,A,,,1
2021,Canada,2021A000011124,"Women+, under 18 years",Food insecure,Number of persons,Number,223,units,0,v1529611820,1.15.6.1,841700,B,,,0
2021,Canada,2021A000011124,"Women+, under 18 years",Food insecure,Percentage of persons,Percent,239,units,0,v1529611821,1.15.6.2,23.5,B,,,1
2021,Canada,2021A000011124,"Women+, under 18 years","Food insecure, marginal",Number of persons,Number,223,units,0,v1288342946,1.15.2.1,250300,C,,,0
2021,Canada,2021A000011124,"Women+, under 18 years","Food insecure, marginal",Percentage of persons,Percent,239,units,0,v1288342947,1.15.2.2,7,C,,,1
2021,Canada,2021A000011124,"Women+, under 18 years","Food insecure, moderate or severe",Number of persons,Number,223,units,0,v1288342948,1.15.3.1,591500,C,,,0
2021,Canada,2021A000011124,"Women+, under 18 years","Food insecure, moderate or severe",Percentage of persons,Percent,239,units,0,v1288342949,1.15.3.2,16.5,C,,,1
2021,Canada,2021A000011124,"Women+, under 18 years","Food insecure, moderate",Number of persons,Number,223,units,0,v1288342950,1.15.4.1,441500,C,,,0
2021,Canada,2021A000011124,"Women+, under 18 years","Food insecure, moderate",Percentage of persons,Percent,239,units,0,v1288342951,1.15.4.2,12.3,C,,,1
2021,Canada,2021A000011124,"Women+, under 18 years","Food insecure, severe",Number of persons,Number,223,units,0,v1288342952,1.15.5.1,150000,D,,,0
2021,Canada,2021A000011124,"Women+, under 18 years","Food insecure, severe",Percentage of persons,Percent,239,units,0,v1288342953,1.15.5.2,4.2,D,,,1
2021,Canada,2021A000011124,"Women+, 18 to 64 years",Food secure,Number of persons,Number,223,units,0,v1288342954,1.16.1.1,9352600,A,,,0
